Sender Name;Receiver Name;Amount;Currency;Timestamp;Sender Email;Receiver Email;Sender Account Type;Receiver Account Type
Joumana Locas;Joumana Locas;452.00;USD;2025-07-16 19:44:04;joumana@yahoo.com;joumana@yahoo.com;Current;Savings
Joumana Locas;Joumana Locas;26.03;USD;2025-07-16 19:51:19;joumana@yahoo.com;joumana@yahoo.com;Current;Savings
Joumana Locas;Joumana Locas;500.00;EGP;2025-07-16 19:57:38;joumana@yahoo.com;joumana@yahoo.com;Savings;Current
Joumana Locas;Joumana Locas;500.00;EGP;2025-07-16 20:16:15;joumana@yahoo.com;joumana@yahoo.com;Savings;Current
Joumana Locas;Joumana Locas;100.00;USD;2025-07-16 20:23:43;joumana@yahoo.com;joumana@yahoo.com;Current;Savings
Rola Ibrahim;Joumana Locas;100.00;Euro;2025-07-17 08:46:53;rola@yahoo.com;joumana@yahoo.com;Savings;Current
Christine Hany;Rola Ibrahim;500.00;GBP;2025-07-17 09:03:15;christine@yahoo.com;rola@yahoo.com;Savings;Savings
Amir Bassem;Ahmed Hassabou;1000.00;Dirham;2025-07-18 18:38:31;amir@yahoo.com;hassabou@yahoo.com;Savings;Savings
Joumana Locas;Ahmed Hassabou;9280.00;EGP;2025-07-19 17:22:40;joumana@yahoo.com;hassabou@yahoo.com;Savings;Savings
Monica Hany;Ahmed Hassabou;100.00;Euro;2025-07-19 17:27:20;monicahany514@gmail.com;hassabou@yahoo.com;Savings;Savings
Julia John;Rola Ibrahim;100.00;USD;2025-07-19 17:36:25;julia@yahoo.com;rola@yahoo.com;Savings;Savings
Hany Makram;Monica Hany;100.00;GBP;2025-07-19 17:52:38;hany@yahoo.com;monicahany514@gmail.com;Savings;Savings
Monica Hany;Rola Ibrahim;50.00;Euro;2025-07-19 17:53:59;monicahany514@gmail.com;rola@yahoo.com;Savings;Savings
seif shaaaban;seif shaaaban;1.00;USD;2025-07-20 08:22:08;seifshaaaban@gmail.com;seifshaaaban@gmail.com;Current;Savings
seif shaaaban;seif shaaaban;1049.39;EGP;2025-07-20 08:24:35;seifshaaaban@gmail.com;seifshaaaban@gmail.com;Savings;Current
Mohamed Ahmed;Joumana Locas;100.00;USD;2025-07-20 09:30:13;mohamed@gmail.com;joumana@yahoo.com;Savings;Current
Mohamed Ahmed;Ahmed Hassabou;100.00;USD;2025-07-20 09:30:42;mohamed@gmail.com;hassabou@yahoo.com;Savings;Savings
Joliemarie Amir;Mohamed Ahmed;10.00;Euro;2025-07-20 10:13:35;joliemarie@yahoo.com;mohamed@gmail.com;Savings;Savings
Saif Ahmed;Mohamed Ahmed;100.00;USD;2025-07-20 12:24:35;saif@yahoo.com;mohamed@gmail.com;Current;Savings
John Amir;Rola Ibrahim;100.00;USD;2025-07-20 21:49:51;john@yahoo.com;rola@yahoo.com;Savings;Savings
John Amir;John Amir;100.00;EGP;2025-07-20 22:00:46;john@yahoo.com;john@yahoo.com;Current;Savings
Mostafa Aly;Ahmed Hassabou;10.00;EGP;2025-07-27 09:34:32;mostafa@yahoo.com;hassabou@yahoo.com;Savings;Savings
Mostafa Aly;Rola Ibrahim;10.00;EGP;2025-07-27 09:34:32;mostafa@yahoo.com;rola@yahoo.com;Savings;Savings
